event_id,query_id,query_text,sku,rank_position,clicked
E00001,Q0083,home decor for women,MIR0105,10,0
E00002,Q0001,leather bag for women,MIR0024,9,0
E00003,Q0120,cadeau leather pour femme,MIR0037,3,0
E00004,Q0091,sac gift for women,MIR0284,1,1
E00005,Q0070,deco basket rwanda,MIR0329,2,1
E00006,Q0014,decor mural rwanda,MIR0229,10,0
E00007,Q0096,cadeau kigali,MIR0364,7,0
E00008,Q0029,cuir,MIR0230,8,0
E00009,Q0038,panier home decor kigali,MIR0280,6,0
E00010,Q0049,leather made in rwanda,MIR0221,10,0
E00011,Q0011,earrings cadeau,MIR0035,4,0
E00012,Q0014,decor mural rwanda,MIR0246,3,0
E00013,Q0010,beaded necklace women,MIR0168,2,1
E00014,Q0082,gift for mom,MIR0259,10,0
E00015,Q0100,femme wallet for women,MIR0238,9,0
E00016,Q0083,home decor for women,MIR0386,8,0
E00017,Q0079,belt for mom,MIR0400,5,1
E00018,Q0023,jewelery gift,MIR0203,5,0
E00019,Q0005,belt leather rwanda,MIR0238,5,0
E00020,Q0086,bag in kigali,MIR0326,5,0
E00021,Q0064,cuir bag kigali,MIR0108,1,1
E00022,Q0063,cuire bag,MIR0359,7,0
E00023,Q0009,agaseke gift,MIR0329,4,0
E00024,Q0100,femme wallet for women,MIR0242,6,0
E00025,Q0039,deco basket pour femme,MIR0357,8,0
E00026,Q0062,bijoux salon,MIR0329,5,1
E00027,Q0016,cuir portefeuille,MIR0284,4,0
E00028,Q0059,panier home decor rwanda,MIR0246,2,1
E00029,Q0039,deco basket pour femme,MIR0126,1,0
E00030,Q0097,basket for office,MIR0052,9,0
E00031,Q0116,femme wallet for women,MIR0221,2,0
E00032,Q0107,dress for office,MIR0228,5,0
E00033,Q0099,cuir bag kigali,MIR0020,7,0
E00034,Q0115,decoration maison pour femme,MIR0120,5,1
E00035,Q0114,panier home decor pour femme,MIR0219,7,0
E00036,Q0054,bag made in rwanda,MIR0180,10,0
E00037,Q0010,beaded necklace women,MIR0346,8,0
E00038,Q0026,small wallet,MIR0094,3,1
E00039,Q0067,sac gift pour femme,MIR0256,9,0
E00040,Q0017,gift for mom rwanda,MIR0367,4,0
E00041,Q0075,bag in kigali,MIR0261,6,0
E00042,Q0002,cadeau en cuir pour femme,MIR0387,7,0
E00043,Q0094,sac cuir maison,MIR0284,2,1
E00044,Q0060,basket for office,MIR0145,4,0
E00045,Q0063,cuire bag,MIR0390,9,0
E00046,Q0037,femme wallet for women,MIR0221,4,0
E00047,Q0059,panier home decor rwanda,MIR0246,2,0
E00048,Q0002,cadeau en cuir pour femme,MIR0114,7,0
E00049,Q0003,sac cuir femme kigali,MIR0279,9,0
E00050,Q0061,basket for men,MIR0248,7,0
E00051,Q0004,wallet gift men,MIR0269,8,0
E00052,Q0002,cadeau en cuir pour femme,MIR0237,1,1
E00053,Q0100,femme wallet for women,MIR0285,4,0
E00054,Q0013,table runner home,MIR0377,6,1
E00055,Q0101,cadeau rwanda,MIR0126,4,1
E00056,Q0052,cadeau salon,MIR0126,1,1
E00057,Q0052,cadeau salon,MIR0267,1,1
E00058,Q0033,cuir bag kigali,MIR0045,5,0
E00059,Q0114,panier home decor pour femme,MIR0176,6,0
E00060,Q0053,lether,MIR0309,10,1
E00061,Q0016,cuir portefeuille,MIR0284,5,0
E00062,Q0040,cadeau rwanda,MIR0363,7,0
E00063,Q0058,cadeau maison,MIR0126,4,0
E00064,Q0022,cadeu cuir,MIR0356,8,0
E00065,Q0109,earrings for home,MIR0102,4,0
E00066,Q0068,sac cuir salon,MIR0181,9,0
E00067,Q0039,deco basket pour femme,MIR0126,1,1
E00068,Q0058,cadeau maison,MIR0258,3,0
E00069,Q0050,cadeau kigali,MIR0126,3,0
E00070,Q0022,cadeu cuir,MIR0312,5,0
E00071,Q0104,portefeuille pour femme,MIR0300,3,0
E00072,Q0079,belt for mom,MIR0399,3,0
