sku,title,description,category,material,origin_district,price_rwf,artisan_id
MIR0001,Bright Beaded Necklace,small artisan workshop. glass beads piece from Bugesera.,jewellery,glass beads,Bugesera,46500,ART067
MIR0002,Durable Tote Bag,finished by local artisans. cuir artisanal piece from Gasabo.,leather,cuir artisanal,Gasabo,51000,ART080
MIR0003,Minimal Ceramic Vase,simple artisan finish. kitenge cotton piece from Kicukiro.,home-decor,kitenge cotton,Kicukiro,9000,ART060
MIR0004,Woven Wall Basket,good for home storage. raffia piece from Nyanza.,basketry,raffia,Nyanza,41000,ART009
MIR0005,Classic Festival Top,hand-finished seams. kitenge cotton piece from Musanze.,apparel,kitenge cotton,Musanze,57000,ART041
MIR0006,Minimal Ceramic Vase,crafted for everyday decor. kitenge cotton piece from Gasabo.,home-decor,kitenge cotton,Gasabo,61500,ART082
MIR0007,Delicate Anklet,hand-assembled details. brass piece from Gasabo.,jewellery,brass,Gasabo,66500,ART015
MIR0008,Gift-Ready Pendant Set,lightweight for daily use. horn piece from Kayonza.,jewellery,horn,Kayonza,69000,ART022
MIR0009,Classic Tailored Shirt,bold print accents. linen blend piece from Gicumbi.,apparel,linen blend,Gicumbi,15500,ART088
MIR0010,Hand-Stitched Card Holder,everyday city use. full grain leather piece from Gicumbi.,leather,full grain leather,Gicumbi,17500,ART076
MIR0011,Durable Belt,everyday city use. cow leather piece from Kicukiro.,leather,cow leather,Kicukiro,86500,ART063
MIR0012,Modern Ceramic Vase,crafted for everyday decor. sisal piece from Kicukiro.,home-decor,sisal,Kicukiro,20000,ART077
MIR0013,Decorative Woven Tray,natural texture finish. sisal piece from Nyarugenge.,basketry,sisal,Nyarugenge,9000,ART002
MIR0014,Statement Pendant Set,inspired by local motifs. horn piece from Karongi.,jewellery,horn,Karongi,10000,ART056
MIR0015,Classic Tote Bag,cadeau en cuir pour femme. cow leather piece from Gasabo.,leather,cow leather,Gasabo,75500,ART020
MIR0016,Everyday Wrap Skirt,bold print accents. kitenge cotton piece from Huye.,apparel,kitenge cotton,Huye,19500,ART009
MIR0017,Functional Storage Basket,crafted in small batches. raffia piece from Nyagatare.,basketry,raffia,Nyagatare,15000,ART049
MIR0018,Artisan Wrap Skirt,hand-finished seams. organic cotton piece from Nyagatare.,apparel,organic cotton,Nyagatare,62000,ART014
MIR0019,Bright Bracelet,inspired by local motifs. silver tone metal piece from Muhanga.,jewellery,silver tone metal,Muhanga,25000,ART049
MIR0020,Traditional Wall Basket,natural texture finish. banana fiber piece from Nyarugenge.,basketry,banana fiber,Nyarugenge,25500,ART014
MIR0021,Statement Pendant Set,hand-assembled details. horn piece from Rwamagana.,jewellery,horn,Rwamagana,78000,ART012
MIR0022,Hand-Stitched Tote Bag,finished by local artisans. goat leather piece from Kicukiro.,leather,goat leather,Kicukiro,71000,ART028
MIR0023,Handmade Ceramic Vase,crafted for everyday decor. ceramic piece from Nyanza.,home-decor,ceramic,Nyanza,19500,ART088
MIR0024,Minimal Wall Hanging,designed for small spaces. wood piece from Kayonza.,home-decor,wood,Kayonza,33500,ART053
MIR0025,Delicate Anklet,lightweight for daily use. silver tone metal piece from Nyagatare.,jewellery,silver tone metal,Nyagatare,17000,ART043
MIR0026,Classic Tailored Shirt,locally tailored fit. organic cotton piece from Huye.,apparel,organic cotton,Huye,48500,ART051
MIR0027,Classic Belt,ideal gift for women. vegetable tanned leather piece from Nyanza.,leather,vegetable tanned leather,Nyanza,46000,ART056
MIR0028,Modern Wrap Skirt,locally tailored fit. organic cotton piece from Nyarugenge.,apparel,organic cotton,Nyarugenge,44000,ART039
MIR0029,Modern Light Jacket,locally tailored fit. linen blend piece from Rwamagana.,apparel,linen blend,Rwamagana,40500,ART073
MIR0030,Woven Woven Tray,good for home storage. banana fiber piece from Gicumbi.,basketry,banana fiber,Gicumbi,26000,ART046
MIR0031,Minimal Earrings,small artisan workshop. brass piece from Rubavu.,jewellery,brass,Rubavu,34500,ART047
MIR0032,Warm Wall Hanging,simple artisan finish. kitenge cotton piece from Gasabo.,home-decor,kitenge cotton,Gasabo,77000,ART007
MIR0033,Premium Card Holder,ideal gift for women. cow leather piece from Rubavu.,leather,cow leather,Rubavu,79500,ART051
MIR0034,Classic Crossbody Bag,cadeau en cuir pour femme. goat leather piece from Gasabo.,leather,goat leather,Gasabo,14000,ART067
MIR0035,Hand-Stitched Belt,ideal gift for women. full grain leather piece from Gicumbi.,leather,full grain leather,Gicumbi,110000,ART038
MIR0036,Modern Kitenge Dress,locally tailored fit. organic cotton piece from Rusizi.,apparel,organic cotton,Rusizi,29500,ART011
MIR0037,Artisan Light Jacket,bold print accents. kitenge cotton piece from Kayonza.,apparel,kitenge cotton,Kayonza,33000,ART041
MIR0038,Classic Wallet,finished by local artisans. full grain leather piece from Nyarugenge.,leather,full grain leather,Nyarugenge,65500,ART064
MIR0039,Elegant Festival Top,hand-finished seams. organic cotton piece from Gasabo.,apparel,organic cotton,Gasabo,51500,ART061
MIR0040,Traditional Fruit Basket,natural texture finish. sisal piece from Rusizi.,basketry,sisal,Rusizi,38500,ART015
MIR0041,Hand-Stitched Passport Case,cadeau en cuir pour femme. cuir artisanal piece from Muhanga.,leather,cuir artisanal,Muhanga,122500,ART019
MIR0042,Handmade Wood Candle Holder,simple artisan finish. kitenge cotton piece from Rwamagana.,home-decor,kitenge cotton,Rwamagana,39500,ART041
MIR0043,Delicate Earrings,lightweight for daily use. horn piece from Karongi.,jewellery,horn,Karongi,41500,ART004
MIR0044,Hand-Stitched Belt,ideal gift for women. cow leather piece from Rubavu.,leather,cow leather,Rubavu,137000,ART017
MIR0045,Warm Wood Candle Holder,crafted for everyday decor. sisal piece from Musanze.,home-decor,sisal,Musanze,23000,ART018
MIR0046,Gift-Ready Bracelet,hand-assembled details. glass beads piece from Rusizi.,jewellery,glass beads,Rusizi,12000,ART045
MIR0047,Durable Crossbody Bag,finished by local artisans. cuir artisanal piece from Gicumbi.,leather,cuir artisanal,Gicumbi,89000,ART077
MIR0048,Soft Sandals,finished by local artisans. full grain leather piece from Karongi.,leather,full grain leather,Karongi,20000,ART069
MIR0049,Lightweight Wall Basket,natural texture finish. banana fiber piece from Muhanga.,basketry,banana fiber,Muhanga,42500,ART080
MIR0050,Modern Festival Top,locally tailored fit. organic cotton piece from Rwamagana.,apparel,organic cotton,Rwamagana,56500,ART070
MIR0051,Everyday Tailored Shirt,locally tailored fit. organic cotton piece from Bugesera.,apparel,organic cotton,Bugesera,15500,ART028
MIR0052,Modern Festival Top,bold print accents. organic cotton piece from Muhanga.,apparel,organic cotton,Muhanga,39000,ART045
MIR0053,Delicate Bracelet,small artisan workshop. brass piece from Huye.,jewellery,brass,Huye,52500,ART090
MIR0054,Lightweight Wall Basket,natural texture finish. sisal piece from Gasabo.,basketry,sisal,Gasabo,12500,ART031
MIR0055,Delicate Earrings,lightweight for daily use. glass beads piece from Bugesera.,jewellery,glass beads,Bugesera,37000,ART063
MIR0056,Delicate Earrings,lightweight for daily use. glass beads piece from Muhanga.,jewellery,glass beads,Muhanga,26500,ART001
MIR0057,Classic Crossbody Bag,cadeau en cuir pour femme. vegetable tanned leather piece from Nyanza.,leather,vegetable tanned leather,Nyanza,123000,ART065
MIR0058,Functional Wall Basket,good for home storage. raffia piece from Kayonza.,basketry,raffia,Kayonza,41000,ART069
MIR0059,Elegant Light Jacket,bold print accents. kitenge cotton piece from Kayonza.,apparel,kitenge cotton,Kayonza,35000,ART057
MIR0060,Classic Festival Top,bold print accents. kitenge cotton piece from Rwamagana.,apparel,kitenge cotton,Rwamagana,33500,ART066
